nct_id,group_id,period_index,period_title,flow_title,protocol_label,arm_type,started,completed,noncompleted,attrition,count_valid,reason_sum,reason_reconciles,qc_flags
NCT00056472,FG000,0,Overall Study,Sertraline Plus Olanzapine,,,129,81,48,0.37209302325581395,True,,,
NCT00056472,FG001,0,Overall Study,Olanzapine Plus Placebo,olanzapine plus placebo,PLACEBO_COMPARATOR,130,61,69,0.5307692307692308,True,,,
NCT00086307,FG000,0,Overall Study,Pramipexole,Pramipexole,ACTIVE_COMPARATOR,13,11,2,0.15384615384615385,True,2,True,
NCT00086307,FG001,0,Overall Study,Escitalopram,Escitalopram,ACTIVE_COMPARATOR,13,12,1,0.07692307692307687,True,1,True,
NCT00086307,FG002,0,Overall Study,Escitalopram and Pramipexole,Escitalopram and Pramipexole,EXPERIMENTAL,13,5,8,0.6153846153846154,True,8,True,
NCT00105196,FG000,0,Overall Study,Aripiprazole + ADT,,,177,147,30,0.1694915254237288,True,30,True,
NCT00105196,FG001,0,Overall Study,Placebo + ADT,,,172,149,23,0.13372093023255816,True,23,True,
NCT00107120,FG000,0,Overall Study,Escitalopram,Escitalopram,EXPERIMENTAL,155,126,29,0.18709677419354842,True,29,True,
NCT00107120,FG001,0,Overall Study,Placebo,,,157,133,24,0.15286624203821653,True,24,True,
NCT00149643,FG000,0,Overall Study,Fluoxetine,Fluoxetine,ACTIVE_COMPARATOR,34,0,34,1.0,True,,,
NCT00149643,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,36,0,36,1.0,True,,,
NCT00149825,FG000,0,Overall Study,MED+CBTI,MED+CBTI,EXPERIMENTAL,15,10,5,0.33333333333333337,True,5,True,
NCT00149825,FG001,0,Overall Study,MED+CTRL,MED+CTRL,ACTIVE_COMPARATOR,15,12,3,0.19999999999999996,True,3,True,
NCT00166296,FG000,0,Overall Study,Escitalopram,Escitalopram,EXPERIMENTAL,67,60,7,0.10447761194029848,True,7,True,
NCT00166296,FG001,0,Overall Study,Placebo,,,66,57,9,0.13636363636363635,True,9,True,
NCT00361374,FG000,0,Overall Study,Eicosapentaenoic Acid (EPA),,,66,51,15,0.2272727272727273,True,,,
NCT00361374,FG001,0,Overall Study,Docosahexaenoic Acid (DHA),,,65,50,15,0.23076923076923073,True,,,
NCT00361374,FG002,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,65,53,12,0.18461538461538463,True,,,
NCT00384033,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,164,123,41,0.25,True,41,True,
NCT00384033,FG001,0,Overall Study,DVS SR 50 mg,,,155,120,35,0.22580645161290325,True,35,True,
NCT00384033,FG002,0,Overall Study,DVS SR 100 mg,,,160,117,43,0.26875000000000004,True,43,True,
NCT00384033,FG003,0,Overall Study,Duloxetine 60 mg,,,159,119,40,0.2515723270440252,True,40,True,
NCT00388973,FG000,0,Overall Study,Quetiapine XR,,,166,110,56,0.3373493975903614,True,56,True,
NCT00388973,FG001,0,Overall Study,Placebo,,,172,114,58,0.33720930232558144,True,58,True,
NCT00420004,FG000,0,Overall Study,LY2216684,LY2216684,EXPERIMENTAL,269,140,129,0.4795539033457249,True,129,True,
NCT00420004,FG001,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,138,67,71,0.5144927536231885,True,71,True,
NCT00420004,FG002,0,Overall Study,Escitalopram,Escitalopram,ACTIVE_COMPARATOR,62,30,32,0.5161290322580645,True,32,True,
NCT00445679,FG000,0,Overall Study,DVS SR 50,,,203,155,48,0.2364532019704434,True,48,True,
NCT00445679,FG001,0,Overall Study,DVS SR 100,,,203,157,46,0.22660098522167482,True,46,True,
NCT00445679,FG002,0,Overall Study,DVS SR 200,,,205,139,66,0.3219512195121951,True,66,True,
NCT00445679,FG003,0,Overall Study,Paroxetine 20,,,196,149,47,0.23979591836734693,True,47,True,
NCT00497874,FG000,0,Overall Study,Intervention,,,443,296,147,0.3318284424379232,True,147,True,
NCT00497874,FG001,0,Overall Study,Usual Care,Usual care,NO_INTERVENTION,459,343,116,0.2527233115468409,True,116,True,
NCT00511810,FG000,0,Overall Study,High Dose Fish Oil,High Dose Fish Oil,EXPERIMENTAL,8,7,1,0.125,True,1,True,
NCT00511810,FG001,0,Overall Study,Low Dose Fish Oil,Low Dose Fish Oil,EXPERIMENTAL,12,7,5,0.41666666666666663,True,5,True,
NCT00521352,FG000,0,Overall Study,Active,,,12,11,1,0.08333333333333337,True,,,
NCT00521352,FG001,0,Overall Study,Sham,,,13,10,3,0.23076923076923073,True,,,
NCT00578669,FG000,0,Overall Study,Sequential Fluoxetine,,,107,107,0,0.0,True,,,
NCT00578669,FG001,0,Overall Study,Sequential Placebo,,,99,99,0,0.0,True,,,
NCT00612807,FG000,0,Overall Study,Semi-weekly Medication Management,,,14,12,2,0.1428571428571429,True,2,True,
NCT00612807,FG001,0,Overall Study,Semi-weekly Medication Management + Weekly Marital Therapy,,,28,28,0,0.0,True,0,True,
NCT00633399,FG000,0,Overall Study,Ziprasidone + Escitalopram,,,71,49,22,0.3098591549295775,True,,,
NCT00633399,FG001,0,Overall Study,Placebo + Escitalopram,,,68,53,15,0.22058823529411764,True,,,
NCT00635219,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,148,123,25,0.16891891891891897,True,25,True,
NCT00635219,FG001,0,Overall Study,Vortioxetine 2.5 mg,,,155,130,25,0.16129032258064513,True,25,True,
NCT00635219,FG002,0,Overall Study,Vortioxetine 5 mg,,,157,122,35,0.22292993630573243,True,35,True,
NCT00635219,FG003,0,Overall Study,Vortioxetine 10 mg,,,151,117,34,0.22516556291390732,True,34,True,
NCT00635219,FG004,0,Overall Study,Duloxetine 60 mg,,,155,113,42,0.2709677419354839,True,42,True,
NCT00668525,FG000,0,Overall Study,Escitalopram Low Dose,,,325,248,77,0.2369230769230769,True,,,
NCT00668525,FG001,0,Overall Study,Escitalopram High Dose,,,332,239,93,0.2801204819277109,True,,,
NCT00668525,FG002,0,Overall Study,Placebo,,,220,167,53,0.24090909090909096,True,,,
NCT00672620,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,153,120,33,0.21568627450980393,True,33,True,
NCT00672620,FG001,0,Overall Study,Vortioxetine 2.5 mg,Vortioxetine 2.5 mg,EXPERIMENTAL,153,99,54,0.3529411764705882,True,54,True,
NCT00672620,FG002,0,Overall Study,Vortioxetine 5 mg,Vortioxetine 5 mg,EXPERIMENTAL,153,122,31,0.20261437908496727,True,31,True,
NCT00672620,FG003,0,Overall Study,Duloxetine 60 mg,Duloxetine 60 mg,ACTIVE_COMPARATOR,152,110,42,0.2763157894736842,True,42,True,
NCT00672958,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,300,236,64,0.21333333333333337,True,64,True,
NCT00672958,FG001,0,Overall Study,Vortioxetine,Vortioxetine,EXPERIMENTAL,300,244,56,0.18666666666666665,True,56,True,
NCT00683592,FG000,0,Overall Study,Vilazodone,,,240,193,47,0.1958333333333333,True,47,True,
NCT00683592,FG001,0,Overall Study,Placebo,,,241,195,46,0.1908713692946058,True,46,True,
NCT00733980,FG000,0,Overall Study,GSK561679,,,74,52,22,0.29729729729729726,True,22,True,
NCT00733980,FG001,0,Overall Study,Placebo,,,76,55,21,0.2763157894736842,True,21,True,
NCT00735709,FG000,0,Overall Study,Placebo,Placebo,PLACEBO_COMPARATOR,140,127,13,0.09285714285714286,True,13,True,
NCT00735709,FG001,0,Overall Study,Vortioxetine 1 mg,Vortioxetine 1 mg,EXPERIMENTAL,140,127,13,0.09285714285714286,True,13,True,
NCT00735709,FG002,0,Overall Study,Vortioxetine 5 mg,Vortioxetine 5 mg,EXPERIMENTAL,140,129,11,0.07857142857142863,True,11,True,
NCT00735709,FG003,0,Overall Study,Vortioxetine 10 mg,Vortioxetine 10 mg,EXPERIMENTAL,140,122,18,0.12857142857142856,True,18,True,
NCT00739908,FG000,0,Overall Study,Oral CX157 60 mg TID (Total Daily Dose of 180 mg),,,142,117,25,0.176056338028169,True,25,True,
NCT00739908,FG001,0,Overall Study,Oral Placebo TID,,,143,118,25,0.1748251748251748,True,25,True,
NCT00742573,FG000,0,Overall Study,1 Texas Medication Algorithm,1 Texas Medication Algorithm,ACTIVE_COMPARATOR,83,26,57,0.6867469879518072,True,,,
