nct_id,title,conditions,eligible,exclusion_flags,period_count
NCT00027378,Pharmacological Intervention Project (Fluoxetine),Alcoholism | Depression,False,explicit_major_depression,1
NCT00043550,Treatments for Depression: Drug Versus Psychotherapy,Depression,False,explicit_major_depression,1
NCT00056472,Study of Pharmacotherapy of Psychotic Depression,Major Depressive Disorder With Psychotic Features,True,,1
NCT00071110,Electroacupuncture for Major Depression,Depression | Depressive Disorder,False,explicit_major_depression,1
NCT00078715,Rapid Antidepressant Effects of Yohimbine in Major Depression,"Depression, Involutional | Major Depresssion",False,parallel,2
NCT00086307,Lexapro and Pramipexole and to Treat Major Depression,Major Depression,True,,1
NCT00088699,Rapid Antidepressant Effects of Ketamine in Major Depression,Depression | Mood Disorders | Major Depresssion,False,parallel,2
NCT00105196,A Study of Aripiprazole in Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00105989,Duloxetine Versus Placebo in the Prevention of Recurrence of Major Depressive Disorder,"Depressive Disorder, Major",True,,3
NCT00107120,The Safety and Efficacy of Escitalopram in Pediatric Patients With Major Depressive Disorder,Major Depressive Disorder,True,,1
NCT00125957,The Effects of Wellbutrin (Bupropion) on Residual and Cognitive Symptoms in SSRI-treated Depression,Depression | Major Depressive Disorder | Unipolar Depression,False,parallel,2
NCT00135512,Study Of 323U66 SR In Major Depressive Disorder,Depressive Disorder,False,randomized;parallel;explicit_major_depression,1
NCT00149643,Effectiveness of Fluoxetine in Young People for the Treatment of Major Depression and Marijuana Dependence,"Depressive Disorder, Major | Cannabis Abuse",True,,1
NCT00149825,Combining Antidepressant Medication and Psychotherapy for Insomnia to Improve Depression Outcome,Major Depressive Disorder | Insomnia,True,,1
NCT00166296,Efficacy and Safety of Escitalopram for Prevention of Depression Induced by Peg-Interferon in Hepatitis C Patients,"Major Depressive Disorder | Hepatitis C, Chronic",True,,1
NCT00167310,Decreasing Risk of Coronary Artery Disease in Schizophrenia by Omega-3 Fatty Acid Supplementation,Schizophrenia | Schizoaffective Disorder | Major Depression | Bipolar Disorder | Coronary Artery Disease,False,no_mixed_bipolar_schizophrenia,1
