nct_id,experimental_group_id,comparator_group_id,experimental_label,comparator_label,comparator_type,experimental_started,experimental_completed,comparator_started,comparator_completed,experimental_attrition,comparator_attrition,difference_pp
NCT00149825,FG000,FG001,MED+CBTI,MED+CTRL,ACTIVE_COMPARATOR,15,10,15,12,0.33333333333333337,0.19999999999999996,13.333333333333341
NCT00672958,FG001,FG000,Vortioxetine,Placebo,PLACEBO_COMPARATOR,300,244,300,236,0.18666666666666665,0.21333333333333337,-2.6666666666666727
NCT00742573,FG001,FG000,2 Patient Choice,1 Texas Medication Algorithm,ACTIVE_COMPARATOR,87,25,83,26,0.7126436781609196,0.6867469879518072,2.589669020911234
NCT00759395,FG000,FG001,AZD2327,Placebo,PLACEBO_COMPARATOR,13,11,9,7,0.15384615384615385,0.2222222222222222,-6.8376068376068355
NCT00962598,FG001,FG000,Omega-3 Fatty Acids,Corn Oil,PLACEBO_COMPARATOR,9,9,7,7,0.0,0.0,0.0
NCT01157078,FG000,FG001,TC-5214,Placebo,PLACEBO_COMPARATOR,159,124,160,124,0.22012578616352196,0.22499999999999998,-0.4874213836478014
NCT01180400,FG000,FG001,TC-5214,Placebo,PLACEBO_COMPARATOR,147,122,148,121,0.17006802721088432,0.18243243243243246,-1.2364405221548136
NCT01368432,FG001,FG000,Escitalopram,Placebo,PLACEBO_COMPARATOR,8,7,6,6,0.125,0.0,12.5
NCT01370733,FG000,FG001,Active sTMS,Sham,SHAM_COMPARATOR,103,86,99,77,0.16504854368932043,0.2222222222222222,-5.717367853290178
NCT01407575,FG000,FG001,Buprenorphine,Placebo,PLACEBO_COMPARATOR,7,5,6,5,0.2857142857142857,0.16666666666666663,11.904761904761907
NCT01421134,FG000,FG001,Lurasidone,Placebo,PLACEBO_COMPARATOR,109,102,102,87,0.06422018348623848,0.1470588235294118,-8.283864004317332
NCT01488071,FG000,FG001,Vortioxetine 10 mg or 20 mg,Agomelatine 25 mg or 50 mg,ACTIVE_COMPARATOR,253,200,242,179,0.20948616600790515,0.2603305785123967,-5.0844412504491565
NCT01625845,FG000,FG001,Pentoxifylline + Standard Treatment,Placebo + Standard Treatment,PLACEBO_COMPARATOR,10,5,6,3,0.5,0.5,0.0
NCT01874951,FG001,FG000,Naltrexone,Placebo,PLACEBO_COMPARATOR,6,6,6,6,0.0,0.0,0.0
NCT02046564,FG000,FG001,ASC-01,Placebo,PLACEBO_COMPARATOR,209,194,203,183,0.0717703349282297,0.09852216748768472,-2.6751832559455013
NCT02176291,FG000,FG001,Buprenorphine,Placebo,PLACEBO_COMPARATOR,20,15,11,11,0.25,0.0,25.0
NCT02458690,FG000,FG001,eIMPACT,Usual Care,ACTIVE_COMPARATOR,107,99,109,100,0.07476635514018692,0.08256880733944949,-0.7802452199262566
NCT02914769,FG001,FG000,Ayahuasca,Placebo,PLACEBO_COMPARATOR,17,14,18,15,0.17647058823529416,0.16666666666666663,0.9803921568627527
NCT02932943,FG001,FG000,Rapastinel 450 mg,Placebo,PLACEBO_COMPARATOR,231,224,227,222,0.030303030303030276,0.022026431718061623,0.8276598584968653
NCT02943577,FG001,FG000,Rapastinel 450 mg,Placebo,PLACEBO_COMPARATOR,206,201,209,204,0.024271844660194164,0.02392344497607657,0.034839968411759514
NCT03018340,FG000,FG001,Pimavanserin 34 mg + SSRI/SNRI,Placebo + SSRI/SNRI,PLACEBO_COMPARATOR,52,44,155,125,0.15384615384615385,0.19354838709677424,-3.970223325062039
NCT03193398,FG000,FG001,BTRX-246040,Placebo,PLACEBO_COMPARATOR,53,38,51,35,0.28301886792452835,0.3137254901960784,-3.0706622271550077
NCT03429075,FG000,FG001,Psilocybin,Escitalopram,ACTIVE_COMPARATOR,30,30,29,29,0.0,0.0,0.0
NCT03433339,FG000,FG001,Active Treatment,Sham Treatment,SHAM_COMPARATOR,10,8,10,6,0.19999999999999996,0.4,-20.000000000000007
NCT03595579,FG000,FG001,AXS-05,Bupropion,ACTIVE_COMPARATOR,48,38,49,35,0.20833333333333337,0.2857142857142857,-7.738095238095233
NCT03866174,FG000,FG001,Psilocybin,Niacin,ACTIVE_COMPARATOR,51,50,53,42,0.019607843137254943,0.2075471698113207,-18.793932667406576
NCT04019704,FG000,FG001,AXS-05,Placebo,PLACEBO_COMPARATOR,163,123,164,147,0.245398773006135,0.10365853658536583,14.174023642076916
NCT04437485,FG000,FG001,eIMPACT-DM Intervention,Active Control,ACTIVE_COMPARATOR,24,21,22,18,0.125,0.18181818181818177,-5.681818181818176
NCT04442490,FG001,FG000,SAGE-217 50 mg,Placebo,PLACEBO_COMPARATOR,271,242,272,235,0.1070110701107011,0.13602941176470584,-2.9018341654004742
NCT04476030,FG001,FG000,SAGE-217 + Assigned ADT,Placebo + Assigned ADT,ACTIVE_COMPARATOR,220,180,220,177,0.18181818181818177,0.19545454545454544,-1.3636363636363669
NCT04479852,FG000,FG001,SP-624,Placebo,PLACEBO_COMPARATOR,163,133,156,130,0.18404907975460127,0.16666666666666663,1.7382413087934645
NCT04504253,FG000,FG001,Creatine Monohydrate,Placebo,PLACEBO_COMPARATOR,9,6,9,6,0.33333333333333337,0.33333333333333337,0.0
NCT04688164,FG000,FG001,REL-1017,Placebo,PLACEBO_COMPARATOR,113,106,114,99,0.06194690265486724,0.13157894736842102,-6.963204471355377
NCT04985942,FG000,FG001,Lumateperone 42 mg,Placebo,PLACEBO_COMPARATOR,241,220,243,232,0.08713692946058094,0.04526748971193417,4.186943974864676
NCT05061706,FG000,FG001,Lumateperone 42 mg,Placebo,PLACEBO_COMPARATOR,242,205,238,224,0.15289256198347112,0.05882352941176472,9.40690325717064
NCT05081167,FG000,FG001,REL-1017,Placebo,PLACEBO_COMPARATOR,116,108,116,102,0.06896551724137934,0.12068965517241381,-5.1724137931034475
NCT05686408,FG001,FG000,"TNX-601 ER, 39.4 mg",Placebo,PLACEBO_COMPARATOR,64,53,68,58,0.171875,0.1470588235294118,2.4816176470588203
NCT06340958,FG000,FG001,CLE-100,Placebo,PLACEBO_COMPARATOR,50,40,49,42,0.19999999999999996,0.1428571428571429,5.714285714285705
