nct_id,title,conditions,phase,sponsor,sponsor_class,masking,completion_date,completion_year,period_count,period_title,flow_group_count,arm_mapping_complete,started,completed,attrition,qc_flags,usable
NCT00149825,Combining Antidepressant Medication and Psychotherapy for Insomnia to Improve Depression Outcome,Major Depressive Disorder | Insomnia,PHASE2,Stanford University,OTHER,TRIPLE,2007-08,2007,1,Overall Study,2,True,30,22,0.2666666666666667,,True
NCT00420004,A Study for Participants With Major Depression,Major Depressive Disorder,PHASE2,Eli Lilly and Company,INDUSTRY,QUADRUPLE,2008-03,2008,1,Overall Study,3,True,469,237,0.49466950959488276,,True
NCT00672620,Efficacy and Safety of Vortioxetine (Lu AA21004) in the Treatment of Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE3,Takeda,INDUSTRY,DOUBLE,2008-12,2008,1,Overall Study,4,True,611,451,0.2618657937806874,,True
NCT00672958,Efficacy and Safety of Vortioxetine (Lu AA21004) in Treating Adults With Major Depressive Disorder,Major Depressive Disorder,PHASE3,Takeda,INDUSTRY,DOUBLE,2008-11,2008,1,Overall Study,2,True,600,480,0.19999999999999996,,True
NCT00735709,Efficacy Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,Major Depressive Disorder,PHASE3,Takeda,INDUSTRY,DOUBLE,2009-08,2009,1,Overall Study,4,True,560,505,0.0982142857142857,,True
NCT00086307,Lexapro and Pramipexole and to Treat Major Depression,Major Depression,PHASE2,National Institute of Mental Health (NIMH),NIH,QUADRUPLE,2010-03,2010,1,Overall Study,3,True,39,28,0.28205128205128205,,True
NCT00811252,Randomised Placebo-controlled Duloxetine-referenced Study of Efficacy and Safety of 5 mg of Vortioxetine (Lu AA21004) in Acute Treatment of Major Depressive Disorder in Elderly Patients,Major Depressive Disorder,PHASE3,H. Lundbeck A/S,INDUSTRY,DOUBLE,2010-03,2010,1,Overall Study,3,True,452,392,0.1327433628318584,,True
NCT00854100,Safety and Efficacy of Cariprazine As Adjunctive Therapy In Major Depressive Disorder,Major Depressive Disorder,PHASE2,Forest Laboratories,INDUSTRY,DOUBLE,2010-12-06,2010,1,Overall Study,3,True,231,205,0.11255411255411252,,True
NCT01020799,AZD7268 Safety and Tolerability Study,Major Depressive Disorder,PHASE2,AstraZeneca,INDUSTRY,QUADRUPLE,2010-04,2010,1,Overall Study,3,True,247,207,0.16194331983805665,,True
NCT00511810,Omega-3 Fatty Acids as Adjunct Treatment for Major Depressive Disorder,Major Depressive Disorder,PHASE2 / PHASE3,University of Cincinnati,OTHER,NONE,2011-03,2011,1,Overall Study,2,True,20,14,0.30000000000000004,,True
NCT00759395,"Study of Antidepressant Efficacy of a Selective, High Affinity Enkephalinergic Agonist in Anxious Major Depressive Disorder (AMDD)",Anxious Major Depressive Disorder,PHASE2,AstraZeneca,INDUSTRY,DOUBLE,2011-10,2011,1,Overall Study,2,True,22,18,0.18181818181818177,,True
NCT01157078,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder (MDD),Major Depressive Disorder | Depression,PHASE3,AstraZeneca,INDUSTRY,QUADRUPLE,2011-11,2011,1,Overall Study,2,True,319,248,0.22257053291536055,,True
NCT01180400,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder,Major Depressive Disorder | Depression,PHASE3,AstraZeneca,INDUSTRY,QUADRUPLE,2011-09,2011,1,Overall Study,2,True,295,243,0.17627118644067796,,True
NCT00149643,Effectiveness of Fluoxetine in Young People for the Treatment of Major Depression and Marijuana Dependence,"Depressive Disorder, Major | Cannabis Abuse",PHASE2,University of Pittsburgh,OTHER,TRIPLE,2012-12,2012,1,Overall Study,2,True,70,0,1.0,,True
NCT01153009,Safety and Efficacy of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",PHASE3,Takeda,INDUSTRY,QUADRUPLE,2012-03,2012,1,Overall Study,4,True,614,470,0.23452768729641693,,True
NCT01163266,Efficacy and Safety Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",PHASE3,Takeda,INDUSTRY,QUADRUPLE,2012-01,2012,1,Overall Study,3,True,462,385,0.16666666666666663,,True
NCT01179516,Safety and Efficacy Study of Vortioxetine (Lu AA21004) in Adults With Major Depressive Disorder,"Depressive Disorder, Major",PHASE3,Takeda,INDUSTRY,QUADRUPLE,2012-06,2012,1,Overall Study,3,True,469,385,0.17910447761194026,,True
NCT01197508,A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder.,Major Depressive Disorder,PHASE3,AstraZeneca,INDUSTRY,QUADRUPLE,2012-01,2012,1,Overall Study,4,True,696,578,0.16954022988505746,,True
NCT01255787,Efficacy and Safety Study of Vortioxetine (Lu AA21004) for Treatment of Major Depressive Disorder,"Depressive Disorder, Major",PHASE2 / PHASE3,Takeda,INDUSTRY,QUADRUPLE,2012-04,2012,1,Overall Study,4,True,600,527,0.1216666666666667,,True
NCT01312922,Pipamperone/Citalopram (PNB01) Versus Citalopram (CIT) and Versus Pipamperone (PIP) in Major Depressive Disorder (MDD),Major Depressive Disorder,PHASE3,PharmaNeuroBoost N.V.,INDUSTRY,QUADRUPLE,2012-12,2012,1,Overall Study,3,True,555,383,0.30990990990990996,,True
NCT01355081,Efficacy Study of Vortioxetine (Lu AA21004) for Treatment of Major Depressive Disorder,Major Depressive Disorder,PHASE3,Takeda,INDUSTRY,QUADRUPLE,2012-12,2012,1,Overall Study,3,True,366,338,0.07650273224043713,,True
NCT00962598,The Role Of Omega-3 Fatty Acids In Adolescent Depression,"Depressive Disorder, Major",PHASE2,Icahn School of Medicine at Mount Sinai,OTHER,QUADRUPLE,2013-06,2013,1,Overall Study,2,True,16,16,0.0,,True
NCT01368432,Lexapro for the Treatment of Traumatic Brain Injury (TBI) Depression & Other Psychiatric Conditions,TBI | Major Depression | Other Psychiatric Disorders,PHASE2,Johns Hopkins University,OTHER,QUADRUPLE,2013-03,2013,1,Overall Study,2,True,14,13,0.0714285714285714,,True
NCT01370733,Synchronized Transcranial Magnetic Stimulation (sTMS) in Major Depressive Disorder,Major Depressive Disorder,PHASE3,Wave Neuroscience,INDUSTRY,QUADRUPLE,2013-09,2013,1,Overall Study,2,True,202,163,0.19306930693069302,,True
NCT01407575,Buprenorphine for Treatment Resistant Depression,"Depression | Depressive Disorder | Depressive Disorder, Major",PHASE3,University of Pittsburgh,OTHER,TRIPLE,2013-08,2013,1,Overall Study,2,True,13,10,0.23076923076923073,,True
NCT01469377,Safety and Efficacy of Cariprazine as an Adjunctive to Antidepressant Therapy in Major Depressive Disorder,Major Depressive Disorder,PHASE2,Forest Laboratories,INDUSTRY,QUADRUPLE,2013-12-12,2013,1,Overall Study,3,True,819,670,0.18192918192918195,,True
NCT01725282,Study to Evaluate the Effect and Safety of Quetiapine Extended Release (XR) (FK949E) in Major Depressive Disorder,Major Depressive Disorder,PHASE2,Astellas Pharma Inc,INDUSTRY,QUADRUPLE,2013-08-24,2013,1,Overall Study,4,True,172,150,0.12790697674418605,,True
NCT02015546,Switching From Generic Selective Serotonin Reuptake Inhibitors (SSRIs) and Selective Serotonin and Norepinephrine Reuptake Inhibitors (SNRIs) to Three Different Dose Initiation Strategies With Vilazodone,Major Depressive Disorder (MDD),PHASE3,Duke University,OTHER,DOUBLE,2013-12,2013,1,Overall Study,3,True,70,61,0.12857142857142856,,True
NCT00742573,Incorporating Patient Treatment Choice to Improve Treatment Retention in Depressed Hispanics,Major Depressive Disorder,PHASE2,New York State Psychiatric Institute,OTHER,SINGLE,2014-01-10,2014,1,Overall Study,2,True,170,51,0.7,,True
NCT01421134,Major Depressive Disorder (MDD) With Mixed Features - Flexible Dose,Major Depressive Disorder With Mixed Features,PHASE3,"Sumitomo Pharma America, Inc.",INDUSTRY,QUADRUPLE,2014-10,2014,1,Overall Study,2,True,211,189,0.10426540284360186,,True
NCT01625845,Anti-INFLammatory to Address Mood and Endothelial Dysfunction (INFLAMED),Major Depressive Disorder | Depression | Depressive Symptoms | Cardiovascular Disease (CVD) | Coronary Artery Disease (CAD) | Heart Disease,PHASE2,Indiana University,OTHER,TRIPLE,2014-05,2014,1,Overall Study,2,True,16,8,0.5,,True
NCT01874951,Low-Dose Naltrexone (LDN) for Depression Relapse and Recurrence,"Major Depressive Disorder | Depression, Unipolar | Recurrence | Relapse",PHASE2,Massachusetts General Hospital,OTHER,QUADRUPLE,2015-06,2015,1,Overall Study,2,True,12,12,0.0,,True
NCT01727726,"A Study of Flexible-dose Brexpiprazole as Adjunctive Therapy in the Treatment of Adults With Major Depressive Disorder, the Delphinus Trial","Depressive Disorder | Depression | Depressive Disorder, Major | Mood Disorders | Mental Disorders",PHASE3,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,QUADRUPLE,2016-11-10,2016,1,Overall Study,3,True,503,443,0.11928429423459241,,True
NCT02046564,Assess the Efficacy and Safety of ASC-01 in Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE3,"Otsuka Pharmaceutical Co., Ltd.",INDUSTRY,QUADRUPLE,2016-09,2016,1,Overall Study,2,True,412,377,0.08495145631067957,,True
NCT02185131,Double-blind Pilot Trial of Mirtazapine for the Treatment of Co-occurring AD/MDD.,Major Depressive Disorder | Alcohol Use Disorder,PHASE2,University of Pittsburgh,OTHER,TRIPLE,2016-07,2016,1,Overall Study,2,True,16,14,0.125,,True
NCT02646449,Treatment of Young Adults With Comorbid AUD/MDD: A Pilot Medication Trial,Major Depressive Disorder | Alcohol Use Disorder,PHASE2,University of Pittsburgh,OTHER,TRIPLE,2016-12,2016,1,Overall Study,2,True,7,7,0.0,,True
NCT02914769,Antidepressant Effects of Ayahuasca: a Randomized Placebo Controlled Trial in Treatment Resistant Depression,Major Depression,PHASE1 / PHASE2,Universidade Federal do Rio Grande do Norte,OTHER,TRIPLE,2016-12,2016,1,Overall Study,2,True,35,29,0.17142857142857137,,True
NCT02376257,Improving Therapeutic Learning in Depression: Proof of Concept,Major Depressive Disorder,PHASE2,Boston University Charles River Campus,OTHER,DOUBLE,2017-05,2017,1,Overall Study,3,True,36,36,0.0,,True
NCT03000530,A Study to Evaluate SAGE-217 in Participants With Moderate to Severe Major Depressive Disorder,Major Depression,PHASE2,Biogen,INDUSTRY,QUADRUPLE,2017-11-08,2017,1,Overall Study,3,True,102,93,0.08823529411764708,,True
NCT02176291,Incomplete Response in Late-Life Depression: Getting to Remission With Buprenorphine,Depression | Major Depressive Disorder,PHASE2,Jordan F. Karp,OTHER,TRIPLE,2018-02,2018,1,Overall Study,2,True,31,26,0.16129032258064513,,True
NCT02389816,A Phase 3 Study of Lu AA21004 in Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE3,Takeda,INDUSTRY,QUADRUPLE,2018-03-16,2018,1,Overall Study,3,True,493,453,0.08113590263691683,,True
NCT02720198,Levomilnacipran ER vs. Adjunctive Quetiapine for Adults With Inadequate Relief With SSRIs in MDD,Major Depressive Disorder,PHASE3,Duke University,OTHER,TRIPLE,2018-06-12,2018,1,Overall Study,2,True,60,59,0.01666666666666672,,True
NCT02932943,A Study of Rapastinel as Adjunctive Therapy in Major Depressive Disorder (RAP-MD-01),"Depressive Disorder, Major",PHASE3,"Naurex, Inc, an affiliate of Allergan plc",INDUSTRY,QUADRUPLE,2018-11-08,2018,1,Overall Study,2,True,458,446,0.026200873362445365,,True
NCT02943564,A Study of Rapastinel as Adjunctive Therapy in Major Depressive Disorder (RAP-MD-02),"Depressive Disorder, Major",PHASE3,"Naurex, Inc, an affiliate of Allergan plc",INDUSTRY,QUADRUPLE,2018-12-18,2018,1,Overall Study,3,True,638,606,0.050156739811912265,,True
NCT02943577,A Study of Rapastinel as Adjunctive Therapy in Major Depressive Disorder (RAP-MD-03),"Depressive Disorder, Major",PHASE3,"Naurex, Inc, an affiliate of Allergan plc",INDUSTRY,QUADRUPLE,2018-11-21,2018,1,Overall Study,2,True,415,405,0.02409638554216864,,True
NCT03018340,Study to Evaluate the Efficacy and Safety of Adjunctive Pimavanserin in Major Depressive Disorder (CLARITY),Adjunctive Treatment of Major Depressive Disorder,PHASE2,ACADIA Pharmaceuticals Inc.,INDUSTRY,QUADRUPLE,2018-10,2018,1,Overall Study,2,True,207,169,0.18357487922705318,,True
NCT03193398,BTRX-246040 Administered Once Daily to Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE2,"BlackThorn Therapeutics, Inc.",INDUSTRY,QUADRUPLE,2018-12-12,2018,1,Overall Study,2,True,104,73,0.29807692307692313,,True
NCT01558063,Ketamine in the Treatment of Depression,Major Depressive Disorder,PHASE2,Columbia University,OTHER,TRIPLE,2019-10,2019,1,Overall Study,6,True,38,38,0.0,,True
NCT02395978,A Phase II Study of PDC-1421 Capsule to Evaluate the Safety and Efficacy in Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE2,"BioLite, Inc.",INDUSTRY,TRIPLE,2019-03-18,2019,1,Overall Study,5,True,72,60,0.16666666666666663,,True
NCT03051256,"Safety, Tolerability, PK Profile, and Symptom Response of a 7-Day Dosing With 25 mg or 50 mg Daily of REL-1017 in MDD","Depressive Disorder, Major | Depressive Disorder, Treatment-Resistant",PHASE2,"Relmada Therapeutics, Inc.",INDUSTRY,TRIPLE,2019-09-30,2019,1,Overall Study,3,True,62,61,0.016129032258064502,,True
NCT03446846,A Study to Evaluate the Efficacy and Safety of MIN-117 in Adult Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE2,Minerva Neurosciences,INDUSTRY,DOUBLE,2019-12-13,2019,1,Overall Study,3,True,360,332,0.07777777777777772,,True
NCT03586427,Zelquistinel in the Treatment of Major Depressive Disorder,"Depressive Disorder, Major",PHASE2,"Syndeio Biosciences, Inc",INDUSTRY,QUADRUPLE,2019-08-21,2019,1,Overall Study,5,True,251,232,0.07569721115537853,,True
NCT03595579,Assessing Symptomatic Clinical Episodes in Depression,Major Depressive Disorder,PHASE2,"Axsome Therapeutics, Inc.",INDUSTRY,QUADRUPLE,2019-01-07,2019,1,Overall Study,2,True,97,73,0.24742268041237114,,True
NCT04019704,A Trial of AXS-05 in Patients With Major Depressive Disorder,Depression | Major Depressive Disorder,PHASE3,"Axsome Therapeutics, Inc.",INDUSTRY,QUADRUPLE,2019-12-05,2019,1,Overall Study,2,True,327,270,0.17431192660550454,,True
NCT03181529,Effects of Psilocybin in Major Depressive Disorder,Major Depressive Disorder,PHASE2,Johns Hopkins University,OTHER,SINGLE,2020-12-02,2020,1,Overall Study,2,True,27,24,0.11111111111111116,,True
