nct_id,group_id,period_index,period_title,reason_index,entry_index,reason_label,count,count_valid
NCT00086307,FG000,0,Overall Study,0,0,Lack of Efficacy,1,True
NCT00086307,FG000,0,Overall Study,1,0,Shortness of breath and muscle spasms,1,True
NCT00086307,FG000,0,Overall Study,2,0,Nausea and headaches,0,True
NCT00086307,FG000,0,Overall Study,3,0,Constipation and sleepiness,0,True
NCT00086307,FG000,0,Overall Study,4,0,Suicidal ideation,0,True
NCT00086307,FG000,0,Overall Study,5,0,Fatigue and difficulty falling asleep,0,True
NCT00086307,FG000,0,Overall Study,6,0,Withdrawal by Subject,0,True
NCT00086307,FG001,0,Overall Study,0,1,Lack of Efficacy,1,True
NCT00086307,FG001,0,Overall Study,1,1,Shortness of breath and muscle spasms,0,True
NCT00086307,FG001,0,Overall Study,2,1,Nausea and headaches,0,True
NCT00086307,FG001,0,Overall Study,3,1,Constipation and sleepiness,0,True
NCT00086307,FG001,0,Overall Study,4,1,Suicidal ideation,0,True
NCT00086307,FG001,0,Overall Study,5,1,Fatigue and difficulty falling asleep,0,True
NCT00086307,FG001,0,Overall Study,6,1,Withdrawal by Subject,0,True
NCT00086307,FG002,0,Overall Study,0,2,Lack of Efficacy,2,True
NCT00086307,FG002,0,Overall Study,1,2,Shortness of breath and muscle spasms,0,True
NCT00086307,FG002,0,Overall Study,2,2,Nausea and headaches,1,True
NCT00086307,FG002,0,Overall Study,3,2,Constipation and sleepiness,1,True
NCT00086307,FG002,0,Overall Study,4,2,Suicidal ideation,1,True
NCT00086307,FG002,0,Overall Study,5,2,Fatigue and difficulty falling asleep,1,True
NCT00086307,FG002,0,Overall Study,6,2,Withdrawal by Subject,2,True
NCT00105196,FG000,0,Overall Study,0,0,Lack of Efficacy,2,True
NCT00105196,FG000,0,Overall Study,1,0,Adverse Event,11,True
NCT00105196,FG000,0,Overall Study,2,0,Withdrawal by Subject,6,True
NCT00105196,FG000,0,Overall Study,3,0,Lost to Follow-up,3,True
NCT00105196,FG000,0,Overall Study,4,0,Poor/noncompliance,3,True
NCT00105196,FG000,0,Overall Study,5,0,Protocol Violation,5,True
NCT00105196,FG000,0,Overall Study,6,0,pending surgery,0,True
NCT00105196,FG000,0,Overall Study,7,0,marijuana use,0,True
NCT00105196,FG000,0,Overall Study,8,0,Subject became unblinded,0,True
NCT00105196,FG001,0,Overall Study,0,1,Lack of Efficacy,3,True
NCT00105196,FG001,0,Overall Study,1,1,Adverse Event,3,True
NCT00105196,FG001,0,Overall Study,2,1,Withdrawal by Subject,6,True
NCT00105196,FG001,0,Overall Study,3,1,Lost to Follow-up,2,True
NCT00105196,FG001,0,Overall Study,4,1,Poor/noncompliance,4,True
NCT00105196,FG001,0,Overall Study,5,1,Protocol Violation,2,True
NCT00105196,FG001,0,Overall Study,6,1,pending surgery,1,True
NCT00105196,FG001,0,Overall Study,7,1,marijuana use,1,True
NCT00105196,FG001,0,Overall Study,8,1,Subject became unblinded,1,True
NCT00107120,FG000,0,Overall Study,0,0,Adverse Event,4,True
NCT00107120,FG000,0,Overall Study,1,0,Lack of Efficacy,5,True
NCT00107120,FG000,0,Overall Study,2,0,Protocol Violation,3,True
NCT00107120,FG000,0,Overall Study,3,0,Withdrawal by Subject,8,True
NCT00107120,FG000,0,Overall Study,4,0,Lost to Follow-up,8,True
NCT00107120,FG000,0,Overall Study,5,0,Pregnancy,0,True
NCT00107120,FG000,0,Overall Study,6,0,moving away from site,1,True
NCT00107120,FG000,0,Overall Study,7,0,death of parent,0,True
NCT00107120,FG001,0,Overall Study,0,1,Adverse Event,1,True
NCT00107120,FG001,0,Overall Study,1,1,Lack of Efficacy,5,True
NCT00107120,FG001,0,Overall Study,2,1,Protocol Violation,0,True
NCT00107120,FG001,0,Overall Study,3,1,Withdrawal by Subject,9,True
NCT00107120,FG001,0,Overall Study,4,1,Lost to Follow-up,6,True
NCT00107120,FG001,0,Overall Study,5,1,Pregnancy,1,True
NCT00107120,FG001,0,Overall Study,6,1,moving away from site,1,True
NCT00107120,FG001,0,Overall Study,7,1,death of parent,1,True
NCT00149825,FG000,0,Overall Study,0,0,Intolerance to medication side effects,1,True
NCT00149825,FG000,0,Overall Study,1,0,Time commitments,2,True
NCT00149825,FG000,0,Overall Study,2,0,Not liking insomnia therapy,1,True
NCT00149825,FG000,0,Overall Study,3,0,Other,1,True
NCT00149825,FG001,0,Overall Study,0,1,Intolerance to medication side effects,2,True
NCT00149825,FG001,0,Overall Study,1,1,Time commitments,1,True
NCT00149825,FG001,0,Overall Study,2,1,Not liking insomnia therapy,0,True
NCT00149825,FG001,0,Overall Study,3,1,Other,0,True
NCT00166296,FG000,0,Overall Study,0,0,Withdrawal by Subject,1,True
NCT00166296,FG000,0,Overall Study,1,0,Adverse Event,2,True
NCT00166296,FG000,0,Overall Study,2,0,Lost to Follow-up,4,True
NCT00166296,FG001,0,Overall Study,0,1,Withdrawal by Subject,3,True
