nct_id,title,conditions,phase,sponsor,sponsor_class,masking,completion_date,completion_year,period_count,period_title,flow_group_count,arm_mapping_complete,started,completed,attrition,qc_flags,usable
NCT00056472,Study of Pharmacotherapy of Psychotic Depression,Major Depressive Disorder With Psychotic Features,PHASE3,Weill Medical College of Cornell University,OTHER,QUADRUPLE,2008-06,2008,1,Overall Study,2,False,,,,arm_mapping_review_needed,False
NCT00086307,Lexapro and Pramipexole and to Treat Major Depression,Major Depression,PHASE2,National Institute of Mental Health (NIMH),NIH,QUADRUPLE,2010-03,2010,1,Overall Study,3,True,39,28,0.28205128205128205,,True
NCT00105196,A Study of Aripiprazole in Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE3,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,DOUBLE,2008-03,2008,1,Overall Study,2,False,,,,arm_mapping_review_needed,False
NCT00105989,Duloxetine Versus Placebo in the Prevention of Recurrence of Major Depressive Disorder,"Depressive Disorder, Major",PHASE3,Eli Lilly and Company,INDUSTRY,QUADRUPLE,2008-01,2008,3,,2,False,,,,multiple_periods_review_needed;arm_mapping_review_needed,False
NCT00107120,The Safety and Efficacy of Escitalopram in Pediatric Patients With Major Depressive Disorder,Major Depressive Disorder,PHASE3,Forest Laboratories,INDUSTRY,QUADRUPLE,,,1,Overall Study,2,False,,,,arm_mapping_review_needed,False
NCT00149643,Effectiveness of Fluoxetine in Young People for the Treatment of Major Depression and Marijuana Dependence,"Depressive Disorder, Major | Cannabis Abuse",PHASE2,University of Pittsburgh,OTHER,TRIPLE,2012-12,2012,1,Overall Study,2,True,70,0,1.0,,True
NCT00149825,Combining Antidepressant Medication and Psychotherapy for Insomnia to Improve Depression Outcome,Major Depressive Disorder | Insomnia,PHASE2,Stanford University,OTHER,TRIPLE,2007-08,2007,1,Overall Study,2,True,30,22,0.2666666666666667,,True
NCT00166296,Efficacy and Safety of Escitalopram for Prevention of Depression Induced by Peg-Interferon in Hepatitis C Patients,"Major Depressive Disorder | Hepatitis C, Chronic",PHASE2,Germans Trias i Pujol Hospital,OTHER,QUADRUPLE,2007-10,2007,1,Overall Study,2,False,,,,arm_mapping_review_needed,False
NCT00361374,"Safety and Effectiveness of Omega 3-Fatty Acids, EPA Versus DHA, for the Treatment of Major Depression",Major Depressive Disorder,PHASE3,Massachusetts General Hospital,OTHER,QUADRUPLE,2013-03,2013,1,Overall Study,3,False,,,,arm_mapping_review_needed,False
NCT00369343,Study Evaluating Desvenlafaxine Succinate Sustained Release (DVS SR) Versus Placebo in Peri- and Postmenopausal Women,"Depression | Depressive Disorder | Depressive Disorder, Major",PHASE3,Wyeth is now a wholly owned subsidiary of Pfizer,INDUSTRY,TRIPLE,2008-07,2008,2,,2,False,,,,multiple_periods_review_needed;arm_mapping_review_needed,False
NCT00384033,Study Evaluating Desvenlafaxine Succinate Sustained Release (DVS SR) In The Treatment Of Major Depressive Disorder,"Depressive Disorder, Major",PHASE3,Pfizer,INDUSTRY,QUADRUPLE,2007-09,2007,1,Overall Study,4,False,,,,arm_mapping_review_needed,False
NCT00388973,Efficacy and Safety Study of Seroquel SR in the Treatment of Major Depressive Disorder,Major Depressive Disorder,PHASE3,AstraZeneca,INDUSTRY,DOUBLE,2007-12,2007,1,Overall Study,2,False,,,,arm_mapping_review_needed,False
NCT00420004,A Study for Participants With Major Depression,Major Depressive Disorder,PHASE2,Eli Lilly and Company,INDUSTRY,QUADRUPLE,2008-03,2008,1,Overall Study,3,True,469,237,0.49466950959488276,,True
